merged_point_id,segment_ids_with_directions,geometry,stop_xy,segment_id,direction,travelDirection
2960,MAG_6208_E,POINT (-112.05907629083482 40.36204460303383),410080_4468480,MAG_6208,E,WB
2960,MAG_6789_E,POINT (-112.05907629083482 40.36204460303383),410080_4468480,MAG_6789,E,WB
2960,MAG_6808_E,POINT (-112.05907629083482 40.36204460303383),410080_4468480,MAG_6808,E,WB
2961,MAG_6717_E,POINT (-112.0400390774315 40.36920646050231),411700_4469260,MAG_6717,E,WB
2962,MAG_6315_E,POINT (-112.06902848314449 40.34771255351324),409220_4466900,MAG_6315,E,WB
2962,MAG_6316_E,POINT (-112.06902848314449 40.34771255351324),409220_4466900,MAG_6316,E,WB
2962,MAG_6317_E,POINT (-112.06902848314449 40.34771255351324),409220_4466900,MAG_6317,E,WB
2963,MAG_6213_E,POINT (-112.00531211310249 40.32005419471411),414580_4463760,MAG_6213,E,WB
2963,MAG_6745_E,POINT (-112.00531211310249 40.32005419471411),414580_4463760,MAG_6745,E,WB
2964,MAG_6504_E,POINT (-112.05381913562725 40.31266727239229),410460_4463000,MAG_6504,E,WB
2965,MAG_6215_E,POINT (-112.05372508992342 40.30544860459056),410460_4462200,MAG_6215,E,WB
2965,MAG_6362_E,POINT (-112.05372508992342 40.30544860459056),410460_4462200,MAG_6362,E,WB
2966,MAG_6216_E,POINT (-112.04894066707365 40.29839211547617),410860_4461400,MAG_6216,E,WB
2967,MAG_6352_E,POINT (-112.03431175926032 40.29101167365902),412080_4460580,MAG_6352,E,WB
2968,MAG_6217_E,POINT (-112.03423582820619 40.29820116825672),412100_4461360,MAG_6217,E,WB
2969,MAG_6230_E,POINT (-112.07933843134535 40.28387840067949),408240_4459820,MAG_6230,E,WB
2970,MAG_6218_E,POINT (-112.06284672520827 40.28345377100667),409660_4459760,MAG_6218,E,WB
2970,MAG_6343_E,POINT (-112.06284672520827 40.28345377100667),409660_4459760,MAG_6343,E,WB
2970,MAG_6345_E,POINT (-112.06284672520827 40.28345377100667),409660_4459760,MAG_6345,E,WB
2971,MAG_6359_E,POINT (-112.05351060837731 40.28349502411985),410440_4459760,MAG_6359,E,WB
2971,MAG_6545_E,POINT (-112.05351060837731 40.28349502411985),410440_4459760,MAG_6545,E,WB
2972,MAG_6219_E,POINT (-112.04374245399036 40.28355236548108),411280_4459760,MAG_6219,E,WB
2972,MAG_6527_E,POINT (-112.04374245399036 40.28355236548108),411280_4459760,MAG_6527,E,WB
2972,MAG_6529_E,POINT (-112.04374245399036 40.28355236548108),411280_4459760,MAG_6529,E,WB
2973,MAG_6220_E,POINT (-112.07258709851534 40.26891606035301),408800_4458160,MAG_6220,E,WB
2974,MAG_6222_E,POINT (-112.06299597940644 40.26159081631217),409600_4457340,MAG_6222,E,WB
2974,MAG_6730_E,POINT (-112.06299597940644 40.26159081631217),409600_4457340,MAG_6730,E,WB
2975,MAG_6223_E,POINT (-112.01055745376688 40.269049176233636),414080_4458100,MAG_6223,E,WB
2976,MAG_6353_E,POINT (-112.03438996617766 40.283606493427946),412080_4459740,MAG_6353,E,WB
2976,MAG_6779_E,POINT (-112.03438996617766 40.283606493427946),412080_4459740,MAG_6779,E,WB
2977,MAG_6224_E,POINT (-112.02478765547747 40.28367151714924),412880_4459740,MAG_6224,E,WB
2977,MAG_6555_E,POINT (-112.02478765547747 40.28367151714924),412880_4459740,MAG_6555,E,WB
2978,MAG_6329_E,POINT (-112.03422442396754 40.305435357875815),412120_4462180,MAG_6329,E,WB
2978,MAG_6776_E,POINT (-112.03422442396754 40.305435357875815),412120_4462180,MAG_6776,E,WB
2979,MAG_6225_E,POINT (-112.0341339550106 40.3122347064486),412120_4462920,MAG_6225,E,WB
2979,MAG_6775_E,POINT (-112.0341339550106 40.3122347064486),412120_4462920,MAG_6775,E,WB
2980,MAG_6514_E,POINT (-112.09179031858517 40.3200628353075),407240_4463860,MAG_6514,E,WB
2980,MAG_6521_E,POINT (-112.09179031858517 40.3200628353075),407240_4463860,MAG_6521,E,WB
2981,MAG_6226_E,POINT (-112.07767415214879 40.319788879603514),408440_4463800,MAG_6226,E,WB
2981,MAG_6228_E,POINT (-112.07767415214879 40.319788879603514),408440_4463800,MAG_6228,E,WB
2982,MAG_6227_E,POINT (-112.06367998869453 40.320075279050165),409620_4463820,MAG_6227,E,WB
2982,MAG_6324_E,POINT (-112.06367998869453 40.320075279050165),409620_4463820,MAG_6324,E,WB
2983,MAG_6320_E,POINT (-112.07794334202859 40.32855667168796),408420_4464780,MAG_6320,E,WB
2983,MAG_6363_E,POINT (-112.07794334202859 40.32855667168796),408420_4464780,MAG_6363,E,WB
2984,MAG_6511_E,POINT (-112.09143352552054 40.298292174650726),407240_4461440,MAG_6511,E,WB
