STOPID,SegID,Direction
416800_4549140,0108_000.0,EB
415920_4549140,0108_000.1,EB
415440_4549140,0108_000.7,EB
413820_4549160,0108_001.0,EB
413000_4549180,0108_002.0,EB
412200_4549180,0108_002.5,EB
410580_4549200,0108_003.0,EB
410580_4549200,0108_004.0,EB
410600_4550800,0108_005.0,EB
410620_4551580,0108_005.5,EB
410640_4552420,0108_006.0,EB
410640_4553220,0108_006.5,EB
410660_4554020,0108_007.0,EB
410660_4554820,0108_007.5,EB
410680_4555640,0108_008.0,EB
410680_4556440,0108_008.5,EB
410700_4557240,0108_009.0,EB
410720_4558860,0108_010.0,EB
410720_4558960,0108_010.1,EB
411540_4559820,0108_010.8,EB
412080_4560440,0108_011.3,EB
412360_4560780,0108_011.6,EB
412780_4561220,0108_012.0,EB
413680_4562000,0108_012.7,EB
418800_4545880,0109_000.0,EB
419540_4545880,0109_000.4,EB
420580_4546020,0109_001.1,EB
406540_4549260,0110_000.0,EB
406560_4550860,0110_001.0,EB
406600_4552460,0110_002.0,EB
406600_4553260,0110_002.5,EB
406620_4554080,0110_003.0,EB
410140_4492220,0111_000.0,EB
410260_4492940,0111_000.4,EB
410340_4493560,0111_000.8,EB
410460_4494360,0111_001.3,EB
410580_4495140,0111_001.8,EB
410700_4495940,0111_002.3,EB
410840_4496760,0111_002.8,EB
410380_4499240,0111_003.3,EB
410160_4499540,0111_004.5,EB
409020_4500920,0111_004.7,EB
407720_4502400,0111_005.8,EB
407720_4503420,0111_007.1,EB
407720_4503420,0111_007.7,EB
407740_4504040,0111_008.1,EB
407760_4505640,0111_009.1,EB
407760_4506440,0111_009.6,EB
407780_4507280,0111_010.1,EB
442620_4453920,0114_000.0,EB
442340_4453900,0114_000.4,EB
441720_4453980,0114_000.5,EB
441520_4453940,0114_001.1,EB
440900_4453940,0114_001.2,EB
440840_4454920,0114_001.6,EB
440720_4455140,0114_002.2,EB
439960_4456000,0114_002.3,EB
439580_4456440,0114_003.0,EB
439080_4456940,0114_003.4,EB
438400_4458180,0114_003.8,EB
438180_4458540,0114_004.7,EB
437900_4459000,0114_005.0,EB
437760_4459360,0114_005.3,EB
437620_4459820,0114_005.5,EB
437620_4460180,0114_005.8,EB
437620_4461000,0114_006.1,EB
437620_4461000,0114_006.6,EB
437580_4462640,0114_007.1,EB
437460_4463520,0114_007.6,EB
437360_4464240,0114_008.2,EB
437260_4465040,0114_008.6,EB
437100_4466960,0114_009.1,EB
437100_4466960,0114_010.3,EB
437100_4467440,0114_010.6,EB
437540_4432960,0115_000.0,EB
437540_4433400,0115_000.3,EB
437540_4433840,0115_000.5,EB
437540_4434060,0115_000.7,EB
437540_4434380,0115_000.9,EB
437560_4434940,0115_001.2,EB
437560_4435860,0115_001.8,EB
437580_4436100,0115_001.9,EB
437640_4436660,0115_002.3,EB
437680_4437480,0115_002.8,EB
437700_4438340,0115_003.3,EB
437700_4438900,0115_003.7,EB
